1	TOUCH	ACER	A100	TABLET A100		 $850 	 $850 	 $-   
2	CENTRO DE CARGA	ACER	TABLET	TABLET		 $20 	 $30 	
3	TOUCH	ALCALTEL	OT5030	ONE TOUCH X'POP		 $250 	 $280 	 $-   
4	DISPLAY + TOUCH	ALCALTEL	OT6030a	IDOL		 $790 	 $790 	 $1,600 
5	DISPLAY	ALCALTEL	OT7040a	POP C7		 $280 	 $300 	 $550 
6	TOUCH	ALCALTEL	OT8000	ONE TOUCH SCRIBE EASY		 $200 	 $200 	 $-   
7	TOUCH	ALCATEL	9002A	PIXI 3	7"	 $300 	 $300 	
8	DISPLAY	ALCATEL	OT3041	ONE TOUCH TRIBE		 $180 	 $200 	 $400 
9	TOUCH	ALCATEL	OT3041	ONE TOUCH TRIBE		 $150 	 $180 	 $380 
10	MICROFONO	ALCATEL	OT4010	ONE TOUCH T'POP		 $20 	 $25 	 $-   
11	BUZZER	ALCATEL	OT4010	ONE TOUCH TRIBE		 $25 	 $25 	 $-   
12	DISPLAY	ALCATEL	OT4010	ONE TOUCH T'POP		 $180 	 $200 	 $550 
13	FLEX	ALCATEL	OT4010	OT4010		 $40 	 $40 	 $-   
14	TOUCH	ALCATEL	OT4010A	ONE TOUCH T'POP		 $280 	 $300 	 $-   
15	DISPLAY	ALCATEL	OT4013	ONE TOUCH PIXI 3		 $200 	 $200 	
16	DISPLAY	ALCATEL	OT4016	POP C1		 $150 	 $160 	 $320 
17	TOUCH	ALCATEL	OT4016	POP C1		 $150 	 $160 	 $-   
18	DISPLAY + TOUCH	ALCATEL	OT4027A	PIXI 3		 $850 	 $850 	
19	DISPLAY	ALCATEL	OT4030	ONE TOUCH S'POP		 $160 	 $180 	 $300 
20	TOUCH	ALCATEL	OT4030	ONE TOUCH S'POP		 $250 	 $280 	 $-   
21	DISPLAY	ALCATEL	OT4033A	POP C3		 $160 	 $180 	 $450 
22	TOUCH	ALCATEL	OT4033A	POP C3		 $90 	 $90 	 $-   
23	DISPLAY	ALCATEL	OT5015	POP 3		 $320 	 $350 	 $650 
24	TOUCH	ALCATEL	OT5015	POP 3		 $230 	 $250 	 $500 
25	BATERIA	ALCATEL	OT5020	ONE TOUCH MPOP	OT4010	 $85 	 $85 	 $200 
26	DISPLAY	ALCATEL	OT5020A	POP M		 $180 	 $180 	 $-   
27	TOUCH	ALCATEL	OT5020A	POP M		 $140 	 $160 	 $-   
28	CENTRO DE CARGA	ALCATEL	OT5035	POP X		 $20 	 $30 	 $-   
29	DISPLAY	ALCATEL	OT5035A	POP X		 $250 	 $250 	 $380 
30	BUZZER	ALCATEL	OT5036	POP C5		 $30 	 $30 	 $-   
31	DISPLAY	ALCATEL	OT5036	POP C5		 $200 	 $230 	 $480 
32	TOUCH	ALCATEL	OT5036	POP C5		 $160 	 $160 	 $-   
33	TOUCH	ALCATEL	OT5050A	POP S5		 $250 	 $280 	 $480 
34	DISPLAY	ALCATEL	OT5050A	POP S3		 $450 	 $480 	 $650 
35	CENTRO DE CARGA	ALCATEL	OT6012	IDOL MINI 2		 $20 	 $30 	 $-   
36	BATERIA	ALCATEL	OT6012	IDOL MINI		 $150 	 $150 	
37	BUZZER	ALCATEL	OT6012	IDOL MINI		 $20 	 $25 	
38	DISPLAY + TOUCH	ALCATEL	OT6012	IDOL MINI		 $750 	 $750 	 $1,200 
39	DISPLAY + TOUCH	ALCATEL	OT6016	IDOL 2 MINI		 $1,050 	 $1,050 	 $1,500 
40	BATERIA	ALCATEL	OT6030	IDOL		 $150 	 $150 	
41	CENTRO DE CARGA	ALCATEL	OT6030	IDOL		 $20 	 $30 	 $250 
42	LECTOR SIM	ALCATEL	OT6030	ONE TOUCH IDOL		 $50 	 $50 	 $250 
43	BATERIA	ALCATEL	OT6037	IDOL 2 		 $200 	 $200 	
44	DISPLAY + TOUCH	ALCATEL	OT6037	IDOL 2		 $1,200 	 $1,200 	 $1,600 
45	DISPLAY + TOUCH	ALCATEL	OT6040	IDOL X		 $900 	 $950 	 $1,500 
46	DISPLAY	ALCATEL	OT6043A	IDOL X PLUS		 $1,800 	 $1,800 	
47	DISPLAY	ALCATEL	OT606	ONE TOUCH CHAT		 $150 	 $150 	 $230 
48	FLEX	ALCATEL	OT606	ONE TOUCH CHAT		 $80 	 $110 	 $-   
49	TOUCH	ALCATEL	OT7040	POP C7		 $230 	 $250 	
50	DISPLAY	ALCATEL	OT7042	POP C7 PLUS		 $180 	 $200 	 $450 
51	TOUCH	ALCATEL	OT7042	POP C7 PLUS		 $200 	 $230 	 $550 
52	DISPLAY	ALCATEL	OT7047A	POP C9		 $550 	 $580 	 $800 
53	TOUCH	ALCATEL	OT7047A	POP C9		 $250 	 $280 	 $480 
54	DISPLAY	ALCATEL	OT708	ONE TOUCH MINI		 $100 	 $100 	 $200 
55	FLEX	ALCATEL	OT708	ONE TOUCH MINI		 $60 	 $80 	 $-   
56	TOUCH	ALCATEL	OT708	ONE TOUCH MINI		 $70 	 $70 	 $-   
57	CENTRO DE CARGA	ALCATEL	OT708A	ONE TOUCH MINI		 $20 	 $30 	 $-   
58	DISPLAY	ALCATEL	OT710	OT710		 $120 	 $120 	 $250 
59	TOUCH	ALCATEL	OT710	OT710		 $90 	 $100 	 $-   
60	DISPLAY	ALCATEL	OT720	OT720		 $100 	 $100 	 $230 
61	TOUCH	ALCATEL	OT720	OT720		 $90 	 $100 	 $-   
62	DISPLAY	ALCATEL	OT800	ONR TOUCH TRIBE		 $150 	 $150 	 $250 
63	BATERIA	ALCATEL	OT8000	ONE TOUCH SCRIBE EASY		 $180 	 $180 	
64	DISPLAY	ALCATEL	OT8000	ONE TOUCH SCRIBE EASY		 $250 	 $250 	 $480 
65	DISPLAY	ALCATEL	OT802	WAVE		 $150 	 $150 	 $300 
66	DISPLAY	ALCATEL	OT803	OT803		 $150 	 $150 	 $180 
67	TOUCH	ALCATEL	OT803	OT803		 $110 	 $130 	 $-   
68	DISPLAY	ALCATEL	OT807	OT807		 $180 	 $200 	 $-   
69	TOUCH	ALCATEL	OT807	OT807		 $140 	 $160 	 $-   
70	DISPLAY	ALCATEL	OT808	OT808		 $330 	 $350 	 $-   
71	BATERIA	ALCATEL	OT880	ONE TOUCH XTRA	OT4010	 $75 	 $75 	 $-   
72	DISPLAY	ALCATEL	OT880	ONE TOUCH XTRA		 $150 	 $150 	 $-   
73	FLEX	ALCATEL	OT880	ONE TOUCH XTRA		 $100 	 $100 	 $-   
74	TOUCH	ALCATEL	OT880	ONE TOUCH XTRA		 $130 	 $150 	 $-   
75	DISPLAY	ALCATEL	OT890G	OT890G		 $180 	 $180 	 $-   
76	TOUCH	ALCATEL	OT890G	OT890G		 $100 	 $120 	 $-   
77	DISPLAY	ALCATEL	OT918	OT918		 $180 	 $200 	 $-   
78	TOUCH	ALCATEL	OT918	OT918		 $180 	 $200 	 $-   
79	DISPLAY	ALCATEL	OT990a	OT990A		 $330 	 $350 	 $-   
80	TOUCH	ALCATEL	OT990A	OT990A		 $280 	 $300 	 $-   
81	DISPLAY	ALCATEL	OT991	OT991		 $350 	 $350 	 $-   
82	TOUCH	ALCATEL	OT991	OT991		 $180 	 $200 	 $-   
83	DISPLAY	ALCATEL	OT995A	OT995A ULTRA		 $630 	 $650 	 $-   
84	TOUCH	ALCATEL	OT995A	ONE TOUCH ULTRA		 $320 	 $350 	 $-   
85	BATERIA	ALCATEL	TLiB5AF	ONE TOUCH X'POP		 $75 	 $75 	
86	MANOS LIBRES	APPLE	3.5MM	MANOS LIBRES IPHONE		 $85 	 $85 	 $-   
87	CABLE USB	APPLE	8 PINS CERTIFICADO	IPHONE 5		 $230 	 $230 	 $-   
88	DISPLAY	APPLE	IPAD 	IPAD 		 $1,000 	 $1,050 	 $-   
89	TOUCH	APPLE	IPAD 1	IPAD		 $250 	 $250 	 $-   
90	BOTON HOME	APPLE	IPAD 2	IPAD 2		 $30 	 $35 	 $-   
91	DISPLAY	APPLE	IPAD 2	IPAD 2		 $700 	 $700 	 $1,300 
92	FLEX ANTENA	APPLE	IPAD 2	ANTENA WIFI		 $50 	 $50 	 $-   
93	FLEX AUDIO LINE	APPLE	IPAD 2	AUDIO LINE		 $120 	 $140 	 $-   
94	FLEX CENTRO DE CARGA	APPLE	IPAD 2	CENTRO DE CARGA		 $100 	 $120 	 $-   
95	FLEX ENCENDIDO	APPLE	IPAD 2	ON/OFF		 $100 	 $120 	 $-   
96	FLEX ENCENDIDO	APPLE	IPAD 2	ON/OFF	NUEVA GENERACION	 $100 	 $120 	 $-   
97	TOUCH	APPLE	IPAD 2			 $300 	 $300 	 $850 
98	BATERIA	APPLE	IPAD 2	IPAD 2		 $350 	 $350 	 $-   
99	BATERIA	APPLE	IPAD 2 MINI	2 MINI		 $450 	 $450 	 $800 
100	BOTON HOME	APPLE	IPAD 3	IPAD 3		 $30 	 $35 	 $-   
101	BUZZER	APPLE	IPAD 3	IPAD 3		 $80 	 $80 	 $-   
102	DISPLAY	APPLE	IPAD 3	IPAD 3		 $700 	 $700 	 $1,600 
103	FLEX CENTRO DE CARGA	APPLE	IPAD 3	CENTRO DE CARGA		 $80 	 $100 	 $-   
104	FLEX HOME	APPLE	IPAD 3	HOME		 $50 	 $65 	 $-   
105	FLEX ENCENDIDO	APPLE	IPAD 3	ON/OFF		 $100 	 $120 	 $-   
106	SIM HOLDER	APPLE	IPAD 3	IPAD 3		 $50 	 $50 	 $-   
107	TOUCH	APPLE	IPAD 3			 $300 	 $300 	 $950 
108	FLEX CENTRO DE CARGA	APPLE	IPAD 4	CENTRO DE CARGA		 $130 	 $150 	 $-   
109	FLEX HOME	APPLE	IPAD 4	HOME		 $40 	 $50 	 $-   
110	BATERIA	APPLE	IPAD 4	IPAD 4		 $550 	 $550 	 $750 
111	BOTON HOME	APPLE	IPAD AIR	IPAD AIR		 $40 	 $50 	 $-   
112	DISPLAY	APPLE	IPAD AIR	IPAD AIR		 $800 	 $850 	 $-   
113	FLEX CENTRO DE CARGA	APPLE	IPAD AIR	CENTRO DE CARGA		 $80 	 $90 	 $-   
114	FLEX HOME	APPLE	IPAD AIR	HOME		 $90 	 $100 	 $-   
115	TOUCH	APPLE	IPAD AIR			 $650 	 $650 	 $990 
116	DISPLAY + TOUCH	APPLE	IPAD AIR 2	IPAD AIR 2		 $3,700 	 $3,800 	 $4,500 
117	DISPLAY	APPLE	IPAD MINI	IPAD MINI		 $700 	 $700 	 $-   
118	FLEX CENTRO DE CARGA	APPLE	IPAD MINI	CENTRO DE CARGA		 $80 	 $80 	 $-   
119	TOUCH	APPLE	IPAD MINI	IPAD MINI CON PARTES		 $650 	 $650 	 $1,100 
120	TOUCH	APPLE	IPAD MINI	IPAD MINI SIN PARTES		 $390 	 $390 	 $-   
121	DISPLAY	APPLE	IPAD MINI 2	IPAD MINI RETINA		 $950 	 $950 	 $-   
122	TOUCH	APPLE	IPAD MINI 3	IPAD MINI 3 CON PARTES		 $1,550 	 $1,600 	
123	DISPLAY	APPLE	IPHONE	IPHONE		 $800 	 $800 	 $-   
124	FLEX ANTENA	APPLE	IPHONE 2G	ANTENA WIFI		 $50 	 $60 	 $-   
125	FLEX AUDIO LINE	APPLE	IPHONE 2G	AUDIO LINE		 $80 	 $90 	 $-   
126	FLEX CENTRO DE CARGA	APPLE	IPHONE 2G	HOME		 $100 	 $100 	 $-   
127	FLEX SPEAKER	APPLE	IPHONE 2G	SPEAKER		 $50 	 $60 	 $-   
128	BATERIA	APPLE	IPHONE 2G	IPHONE 2G		 $95 	 $95 	 $-   
