1	TOUCHA100	TOUCH ACER A100 TABLET	TOUCH	ACER	A100	TABLET A100		 $850 	 $-   
2	CCACER	CENTRO DE CARGA ACER TABLET	CENTRO DE CARGA	ACER	TABLET	TABLET		 $30 	
3	TALOT5030	TOUCH ALCALTEL OT5030	TOUCH	ALCALTEL	OT5030	ONE TOUCH X'POP		 $280 	 $-   
4	DTALOT6030	DISPLAY ALCALTEL OT6030a + TOUCH 	DISPLAY + TOUCH	ALCALTEL	OT6030a	IDOL		 $790 	 $1,600 
5	DALOT7040	DISPLAY ALCALTEL OT7040a	DISPLAY	ALCALTEL	OT7040a	POP C7		 $300 	 $550 
6	TALOT8000	TOUCH ALCALTEL OT8000	TOUCH	ALCALTEL	OT8000	ONE TOUCH SCRIBE EASY		 $200 	 $-   
7			TOUCH	ALCATEL	9002A	PIXI 3	7"	 $300 	
8	DALOT3041	DISPLAY ALCATEL OT3041	DISPLAY	ALCATEL	OT3041	ONE TOUCH TRIBE		 $200 	 $400 
9	TALOT3041	TOUCH ALCATEL OT3041	TOUCH	ALCATEL	OT3041	ONE TOUCH TRIBE		 $180 	 $380 
10	MALOT4010	MICROFONO ALCATEL 4010	MICROFONO	ALCATEL	OT4010	ONE TOUCH T'POP		 $25 	 $-   
11	BZALOT4010	BUZZER ALCATEL OT4010	BUZZER	ALCATEL	OT4010	ONE TOUCH TRIBE		 $25 	 $-   
12	DALOT4010	DISPLAY ALCATEL OT4010	DISPLAY	ALCATEL	OT4010	ONE TOUCH T'POP		 $200 	 $550 
13	FALOT4010PWR	FLEX ALCATEL OT4010 ON/OFF	FLEX	ALCATEL	OT4010	OT4010		 $40 	 $-   
14	TALOT4010	TOUCH ALCATEL OT4010A	TOUCH	ALCATEL	OT4010A	ONE TOUCH T'POP		 $300 	 $-   
15	DALOT4013	DISPLAY ALCATEL OT4013	DISPLAY	ALCATEL	OT4013	ONE TOUCH PIXI 3		 $200 	
16	DALOT4016	DISPLAY ALCATEL OT4016	DISPLAY	ALCATEL	OT4016	POP C1		 $160 	 $320 
17	TALOT4016	TOUCH ALCATEL OT4016	TOUCH	ALCATEL	OT4016	POP C1		 $160 	 $-   
18			DISPLAY ALCATEL OT4027A PIXI 3 + TOUCH	DISPLAY + TOUCH		ALCATEL		OT4027A		PIXI 3			 $850 	
19	DALOT4030	DISPLAY ALCATEL OT4030	DISPLAY	ALCATEL	OT4030	ONE TOUCH S'POP		 $180 	 $300 
20	TALOT4030	TOUCH ALCATEL OT4030	TOUCH	ALCATEL	OT4030	ONE TOUCH S'POP		 $280 	 $-   
21	DALOT4033 	DISPLAY ALCATEL OT4033A	DISPLAY	ALCATEL	OT4033A	POP C3		 $180 	 $450 
22	TALOT4033	TOUCH ALCATEL OT4033A	TOUCH	ALCATEL	OT4033A	POP C3		 $90 	 $-   
23	DALOT5015	DISPLAY ALCATEL OT5015 POP 3	DISPLAY	ALCATEL	OT5015	POP 3		 $350 	 $650 
24	TALOT5015	TOUCH ALCATEL OT5015 POP 3 (BLACK)	TOUCH	ALCATEL	OT5015	POP 3		 $250 	 $500 
25	BALOT5020	BATERIA ALCATEL OT5020 / OT4010	BATERIA	ALCATEL	OT5020	ONE TOUCH MPOP	OT4010	 $85 	 $200 
